YEAR,PCT_RELIABLE_PERS_MILES,ACTUAL_OR_TARGET
2014,63.1,Actual
2015,62.5,Actual
2016,63.8,Actual
2017,64.7,Actual
2018,63.5,Actual
2019,66.4,Actual
2020,85.6,Actual
2025,70.8,Target
2050,90.0,Target
