YEAR,PCT_POP_HIGHLY_WALKABLE,PCT_JOBS_HIGHLY_WALKABLE,ACTUAL_OR_TARGET
2019,48.3,40.1,Actual
2025,49.4,41.2,Target
2050,53.6,46.0,Target
