YEAR,FARM_ACRES_HUMAN_CONS,ACTUAL_OR_TARGET
1997,10989,Actual
2002,8389,Actual
2007,5518,Actual
2012,4629,Actual
2017,5023,Actual
2025,6240,Target
2050,10000,Target
