YEAR,CONSERVED_ACRES,ACTUAL_OR_TARGET
2008,254480,Actual
2013,265540,Actual
2017,268523,Actual
2020,278967,Actual
2021,278540,Actual
2025,285000,Target
2050,400000,Target
