YEAR,COMMUTE_MINS_ASIAN,COMMUTE_MINS_BLACK,COMMUTE_MINS_HISPANIC,COMMUTE_MINS_WHITE,ACTUAL_OR_TARGET
2005,30.3,36.7,28.4,29.1,Actual
2006,30.9,34.6,29.5,28.4,Actual
2007,30.7,35.0,29.1,28.8,Actual
2008,31.4,35.0,29.2,29.2,Actual
2009,30.5,34.6,28.6,28.7,Actual
2010,30.3,33.1,28.8,28.6,Actual
2011,30.5,33.7,28.6,28.8,Actual
2012,30.6,33.2,29.2,28.3,Actual
2013,30.8,34.0,29.1,29.1,Actual
2014,30.7,33.8,29.6,29.5,Actual
2015,31.6,34.5,29.3,29.4,Actual
2016,30.5,34.3,30.2,29.4,Actual
2017,31.8,34.2,29.6,29.5,Actual
2018,30.4,35.7,29.6,29.8,Actual
2019,32.0,34.7,30.4,29.5,Actual
